,age,length_of_service,clusters
447,60,20,1
448,61,21,1
449,62,22,1
450,63,23,1
451,64,24,1
452,57,17,1
453,58,18,1
454,59,19,1
455,57,17,1
456,58,18,1
457,59,19,1
458,57,17,1
459,58,18,1
460,59,19,1
461,57,17,1
462,58,18,1
463,59,19,1
464,60,20,1
465,61,21,1
466,62,22,1
467,63,23,1
468,64,24,1
469,57,17,1
470,58,18,1
471,59,19,1
472,57,17,1
473,58,18,1
474,59,19,1
475,57,17,1
476,58,18,1
477,59,19,1
478,57,17,1
479,58,18,1
480,59,19,1
481,60,20,1
482,61,21,1
483,62,22,1
484,63,23,1
485,64,24,1
486,57,17,1
487,58,18,1
488,59,19,1
489,57,17,1
490,58,18,1
491,59,19,1
492,57,17,1
493,58,18,1
494,59,19,1
495,60,20,1
496,61,21,1
497,62,22,1
498,63,23,1
499,64,24,1
500,57,17,1
501,58,18,1
502,59,19,1
503,57,17,1
504,58,18,1
505,59,19,1
506,57,17,1
507,58,18,1
508,59,19,1
509,57,16,1
510,58,17,1
511,59,18,1
512,60,19,1
513,61,20,1
514,62,21,1
515,63,22,1
516,64,23,1
517,57,16,1
518,58,17,1
519,59,18,1
520,60,19,1
521,61,20,1
522,62,21,1
523,63,22,1
524,64,23,1
525,57,16,1
526,58,17,1
527,59,18,1
528,60,19,1
529,61,20,1
530,62,21,1
531,63,22,1
532,64,23,1
533,57,16,1
534,58,17,1
535,59,18,1
536,57,16,1
537,58,17,1
538,59,18,1
539,60,19,1
540,61,20,1
541,62,21,1
542,63,22,1
543,64,23,1
544,57,16,1
545,58,17,1
546,59,18,1
547,57,16,1
548,58,17,1
549,59,18,1
550,57,16,1
551,58,17,1
552,59,18,1
553,60,19,1
554,61,20,1
555,62,21,1
556,63,22,1
557,64,23,1
558,57,16,1
559,58,17,1
560,59,18,1
561,57,16,1
562,58,17,1
563,59,18,1
564,60,19,1
565,61,20,1
566,62,21,1
567,63,22,1
568,64,23,1
569,57,16,1
570,58,17,1
571,59,18,1
572,57,16,1
573,58,17,1
574,59,18,1
575,57,16,1
576,58,17,1
577,59,18,1
578,60,19,1
579,61,20,1
580,62,21,1
581,63,22,1
582,64,23,1
583,57,16,1
584,58,17,1
585,59,18,1
586,60,19,1
587,61,20,1
588,62,21,1
589,63,22,1
590,64,23,1
591,57,16,1
592,58,17,1
593,59,18,1
594,60,19,1
595,61,20,1
596,62,21,1
597,63,22,1
598,64,23,1
599,57,16,1
600,58,17,1
601,59,18,1
602,57,16,1
603,58,17,1
604,59,18,1
605,57,16,1
606,58,17,1
607,59,18,1
608,60,19,1
609,61,20,1
610,62,21,1
611,63,22,1
612,64,23,1
613,57,16,1
614,58,17,1
615,59,18,1
616,60,19,1
617,61,20,1
618,62,21,1
619,63,22,1
620,64,23,1
621,57,16,1
622,58,17,1
623,59,18,1
624,60,19,1
625,61,20,1
626,62,21,1
627,63,22,1
628,64,23,1
629,57,16,1
630,58,17,1
631,59,18,1
632,57,16,1
633,58,17,1
634,59,18,1
635,60,19,1
636,61,20,1
637,62,21,1
638,63,22,1
639,64,23,1
640,57,16,1
641,58,17,1
642,59,18,1
643,60,19,1
644,61,20,1
645,62,21,1
646,63,22,1
647,64,23,1
648,57,16,1
649,58,17,1
650,59,18,1
651,57,16,1
652,58,17,1
653,59,18,1
654,60,19,1
655,61,20,1
656,62,21,1
657,63,22,1
658,64,23,1
659,57,16,1
660,57,16,1
661,58,17,1
662,59,18,1
663,60,19,1
664,61,20,1
665,62,21,1
666,63,22,1
667,64,23,1
668,57,16,1
669,58,17,1
670,59,18,1
671,57,16,1
672,58,17,1
673,59,18,1
674,57,16,1
675,58,17,1
676,59,18,1
677,57,16,1
678,58,17,1
679,59,18,1
680,60,19,1
681,61,20,1
682,62,21,1
683,63,22,1
684,64,23,1
685,57,16,1
686,58,17,1
687,59,18,1
688,60,19,1
689,61,20,1
690,62,21,1
691,63,22,1
692,64,23,1
693,57,16,1
694,58,17,1
695,59,18,1
696,60,19,1
697,61,20,1
698,62,21,1
699,63,22,1
700,64,23,1
701,57,16,1
702,58,17,1
703,59,18,1
704,60,19,1
705,61,20,1
706,62,21,1
707,63,22,1
708,64,23,1
709,57,16,1
710,58,17,1
711,59,18,1
712,57,16,1
713,58,17,1
714,59,18,1
715,60,19,1
716,61,20,1
717,62,21,1
718,63,22,1
719,64,23,1
720,57,16,1
721,58,17,1
722,59,18,1
723,60,19,1
724,61,20,1
725,62,21,1
726,63,22,1
727,64,23,1
728,57,16,1
729,58,17,1
730,59,18,1
731,60,19,1
732,61,20,1
733,62,21,1
734,63,22,1
735,64,23,1
736,57,16,1
737,58,17,1
738,59,18,1
739,60,19,1
740,61,20,1
741,62,21,1
742,63,22,1
743,64,23,1
744,57,16,1
745,58,17,1
746,59,18,1
747,60,19,1
748,61,20,1
749,62,21,1
750,63,22,1
751,64,23,1
752,57,16,1
753,58,17,1
754,59,18,1
755,60,19,1
756,61,20,1
757,62,21,1
758,63,22,1
759,64,23,1
760,57,16,1
761,58,17,1
762,59,18,1
763,56,16,1
764,57,17,1
765,58,18,1
766,59,19,1
767,60,20,1
768,61,21,1
769,62,22,1
770,63,23,1
771,64,24,1
772,56,16,1
773,57,17,1
774,58,18,1
775,59,19,1
776,60,20,1
777,61,21,1
778,62,22,1
779,63,23,1
780,64,24,1
781,56,16,1
782,57,17,1
783,58,18,1
784,59,19,1
785,56,16,1
786,57,17,1
787,58,18,1
788,59,19,1
789,60,20,1
790,61,21,1
791,62,22,1
792,63,23,1
793,64,24,1
794,56,16,1
795,57,17,1
796,58,18,1
797,59,19,1
798,56,16,1
799,57,17,1
800,58,18,1
801,59,19,1
802,60,20,1
803,61,21,1
804,62,22,1
805,63,23,1
806,64,24,1
807,56,16,1
808,57,17,1
809,58,18,1
810,59,19,1
811,60,20,1
812,61,21,1
813,62,22,1
814,63,23,1
815,64,24,1
816,56,16,1
817,57,17,1
818,58,18,1
819,59,19,1
820,56,16,1
821,57,17,1
822,58,18,1
823,59,19,1
824,56,16,1
825,57,17,1
826,58,18,1
827,59,19,1
828,60,20,1
829,61,21,1
830,62,22,1
831,63,23,1
832,64,24,1
833,56,16,1
834,57,17,1
835,58,18,1
836,59,19,1
837,56,16,1
838,57,17,1
839,58,18,1
840,59,19,1
841,60,20,1
842,61,21,1
843,62,22,1
844,63,23,1
845,64,24,1
846,56,16,1
847,57,17,1
848,58,18,1
849,59,19,1
850,60,20,1
851,61,21,1
852,62,22,1
853,63,23,1
854,64,24,1
855,56,16,1
856,57,17,1
857,58,18,1
858,59,19,1
859,56,16,1
860,57,17,1
861,58,18,1
862,59,19,1
863,56,16,1
864,57,17,1
865,58,18,1
866,59,19,1
867,60,20,1
868,61,21,1
869,62,22,1
870,63,23,1
871,64,24,1
872,56,16,1
873,57,17,1
874,58,18,1
875,59,19,1
876,60,20,1
877,61,21,1
878,62,22,1
879,63,23,1
880,64,24,1
881,56,16,1
882,57,17,1
883,58,18,1
884,59,19,1
885,60,20,1
886,61,21,1
887,62,22,1
888,63,23,1
889,64,24,1
890,56,16,1
891,57,17,1
892,58,18,1
893,59,19,1
894,60,20,1
895,61,21,1
896,62,22,1
897,63,23,1
898,64,24,1
899,56,16,1
900,57,17,1
901,58,18,1
902,59,19,1
903,56,16,1
904,57,17,1
905,58,18,1
906,59,19,1
907,60,20,1
908,61,21,1
909,62,22,1
910,63,23,1
911,56,16,1
912,57,17,1
913,58,18,1
914,59,19,1
915,56,16,1
916,57,17,1
917,58,18,1
918,59,19,1
919,60,20,1
920,61,21,1
921,62,22,1
922,63,23,1
923,64,24,1
924,56,16,1
925,57,17,1
926,58,18,1
927,59,19,1
928,60,20,1
929,61,21,1
930,62,22,1
931,63,23,1
932,64,24,1
933,56,16,1
934,57,17,1
935,58,18,1
936,59,19,1
937,56,16,1
938,57,17,1
939,58,18,1
940,59,19,1
941,56,16,1
942,57,17,1
943,58,18,1
944,59,19,1
945,60,20,1
946,61,21,1
947,62,22,1
948,63,23,1
949,64,24,1
950,56,16,1
951,57,17,1
952,58,18,1
953,59,19,1
954,56,16,1
955,57,17,1
956,58,18,1
957,59,19,1
958,56,16,1
959,57,17,1
960,58,18,1
961,59,19,1
962,56,16,1
963,57,17,1
964,58,18,1
965,59,19,1
966,60,20,1
967,61,21,1
968,62,22,1
969,63,23,1
970,64,24,1
971,56,16,1
972,57,17,1
973,58,18,1
974,59,19,1
975,56,16,1
976,57,17,1
977,58,18,1
978,59,19,1
979,60,20,1
980,61,21,1
981,62,22,1
982,63,23,1
983,64,24,1
984,56,16,1
985,57,17,1
986,58,18,1
987,59,19,1
988,60,20,1
989,61,21,1
990,62,22,1
991,63,23,1
992,64,24,1
993,56,16,1
994,57,17,1
995,58,18,1
996,59,19,1
997,56,16,1
998,57,17,1
999,58,18,1
1000,59,19,1
1001,60,20,1
1002,61,21,1
1003,62,22,1
1004,63,23,1
1005,64,24,1
1006,56,16,1
1007,57,17,1
1008,58,18,1
1009,59,19,1
1010,60,20,1
1011,61,21,1
1012,62,22,1
1013,63,23,1
1014,64,24,1
1015,56,16,1
1016,57,17,1
1017,58,18,1
1018,59,19,1
1019,56,16,1
1020,57,17,1
1021,58,18,1
1022,59,19,1
1023,60,20,1
1024,61,21,1
1025,62,22,1
1026,63,23,1
1027,64,24,1
1028,56,16,1
1029,57,17,1
1030,58,18,1
1031,59,19,1
1032,56,16,1
1033,57,17,1
1034,58,18,1
1035,59,19,1
1036,56,16,1
1037,57,17,1
1038,58,18,1
1039,59,19,1
1040,56,16,1
1041,57,17,1
1042,58,18,1
1043,59,19,1
1044,60,20,1
1045,61,21,1
1046,62,22,1
1047,63,23,1
1048,64,24,1
1049,56,16,1
1050,57,17,1
1051,58,18,1
1052,59,19,1
1053,60,20,1
1054,61,21,1
1055,62,22,1
1056,63,23,1
1057,64,24,1
1058,56,16,1
1059,57,17,1
1060,58,18,1
1061,59,19,1
1062,60,20,1
1063,61,21,1
1064,62,22,1
1065,63,23,1
1066,64,24,1
1067,56,16,1
1068,57,17,1
1069,58,18,1
1070,59,19,1
1071,56,16,1
1072,57,17,1
1073,58,18,1
1074,59,19,1
1075,56,16,1
1076,57,17,1
1077,58,18,1
1078,59,19,1
1079,56,16,1
1080,57,17,1
1081,58,18,1
1082,59,19,1
1083,60,20,1
1084,61,21,1
1085,62,22,1
1086,63,23,1
1087,64,24,1
1088,56,16,1
1089,57,17,1
1090,58,18,1
1091,59,19,1
1092,56,16,1
1093,57,17,1
1094,58,18,1
1095,59,19,1
1096,60,20,1
1097,61,21,1
1098,62,22,1
1099,63,23,1
1100,64,24,1
1101,56,16,1
1102,57,17,1
1103,58,18,1
1104,59,19,1
1105,56,16,1
1106,57,17,1
1107,58,18,1
1108,59,19,1
1109,60,20,1
1110,61,21,1
1111,62,22,1
1112,63,23,1
1113,64,24,1
1114,56,16,1
1115,57,17,1
1116,58,18,1
1117,59,19,1
1118,56,16,1
1119,57,17,1
1120,58,18,1
1121,59,19,1
1122,60,20,1
1123,61,21,1
1124,62,22,1
1125,63,23,1
1126,64,24,1
1127,56,16,1
1128,57,17,1
1129,58,18,1
1130,59,19,1
1131,60,20,1
1132,61,21,1
1133,62,22,1
1134,63,23,1
1135,64,24,1
1136,56,16,1
1137,57,17,1
1138,58,18,1
1139,59,19,1
1140,56,16,1
1141,57,17,1
1142,58,18,1
1143,59,19,1
1144,56,16,1
1145,57,17,1
1146,58,18,1
1147,59,19,1
1148,60,20,1
1149,61,21,1
1150,62,22,1
1151,63,23,1
1152,64,24,1
1153,56,16,1
1154,57,17,1
1155,58,18,1
1156,59,19,1
1157,56,16,1
1158,57,17,1
1159,58,18,1
1160,59,19,1
1161,56,16,1
1162,57,17,1
1163,58,18,1
1164,59,19,1
1165,60,20,1
1166,61,21,1
1167,62,22,1
1168,63,23,1
1169,64,24,1
1170,56,16,1
1171,57,17,1
1172,58,18,1
1173,59,19,1
1174,56,16,1
1175,57,17,1
1176,58,18,1
1177,59,19,1
1178,56,16,1
1179,57,17,1
1180,58,18,1
1181,59,19,1
1182,60,20,1
1183,61,21,1
1184,62,22,1
1185,63,23,1
1186,64,24,1
1187,56,16,1
1188,57,17,1
1189,58,18,1
1190,59,19,1
1191,60,20,1
1192,61,21,1
1193,62,22,1
1194,63,23,1
1195,56,16,1
1196,57,17,1
1197,58,18,1
1198,59,19,1
1199,60,20,1
1200,61,21,1
1201,62,22,1
1202,63,23,1
1203,64,24,1
1204,56,16,1
1205,57,17,1
1206,58,18,1
1207,59,19,1
1208,60,20,1
1209,61,21,1
1210,62,22,1
1211,63,23,1
1212,64,24,1
1213,56,16,1
1214,57,17,1
1215,58,18,1
1216,59,19,1
1217,60,20,1
1218,61,21,1
1219,62,22,1
1220,63,23,1
1221,64,24,1
1222,56,16,1
1223,57,17,1
1224,58,18,1
1225,59,19,1
1226,60,20,1
1227,61,21,1
1228,62,22,1
1229,63,23,1
1230,64,24,1
1231,56,16,1
1232,57,17,1
1233,58,18,1
1234,59,19,1
1235,60,20,1
1236,61,21,1
1237,62,22,1
1238,63,23,1
1239,64,24,1
1240,56,16,1
1241,57,17,1
1242,58,18,1
1243,59,19,1
1244,60,20,1
1245,61,21,1
1246,62,22,1
1247,63,23,1
1248,64,24,1
1249,56,16,1
1250,57,17,1
1251,58,18,1
1252,59,19,1
1253,60,20,1
1254,56,16,1
1255,57,17,1
1256,58,18,1
1257,59,19,1
1258,60,20,1
1259,61,21,1
1260,62,22,1
1261,63,23,1
1262,64,24,1
1263,56,16,1
1264,57,17,1
1265,58,18,1
1266,59,19,1
1267,60,20,1
1268,61,21,1
1269,62,22,1
1270,63,23,1
1271,64,24,1
1272,56,16,1
1273,57,17,1
1274,58,18,1
1275,59,19,1
1276,60,20,1
1277,61,21,1
1278,62,22,1
1279,63,23,1
1280,64,24,1
1281,56,16,1
1282,57,17,1
1283,58,18,1
1284,59,19,1
1285,60,20,1
1286,61,21,1
1287,62,22,1
1288,63,23,1
1289,64,24,1
1290,56,16,1
1291,57,17,1
1292,58,18,1
1293,59,19,1
1294,60,20,1
1295,61,21,1
1296,62,22,1
1297,63,23,1
1298,64,24,1
1299,56,16,1
1300,57,17,1
1301,58,18,1
1302,59,19,1
1303,60,20,1
1304,61,21,1
1305,62,22,1
1306,63,23,1
1307,64,24,1
1308,56,16,1
1309,57,17,1
1310,58,18,1
1311,59,19,1
1312,56,16,1
1313,57,17,1
1314,58,18,1
1315,59,19,1
1316,60,20,1
1317,61,21,1
1318,62,22,1
1319,63,23,1
1320,64,24,1
1321,56,16,1
1322,57,17,1
1323,58,18,1
1324,59,19,1
1325,56,16,1
1326,57,17,1
1327,58,18,1
1328,59,19,1
1329,56,16,1
1330,57,17,1
1331,58,18,1
1332,59,19,1
1333,60,20,1
1334,61,21,1
1335,62,22,1
1336,63,23,1
1337,64,24,1
1338,56,16,1
1339,57,17,1
1340,58,18,1
1341,59,19,1
1342,56,16,1
1343,57,17,1
1344,58,18,1
1345,59,19,1
1346,56,16,1
1347,57,17,1
1348,58,18,1
1349,59,19,1
1350,56,16,1
1351,57,17,1
1352,58,18,1
1353,59,19,1
1354,60,20,1
1355,61,21,1
1356,62,22,1
1357,63,23,1
1358,64,24,1
1359,56,16,1
1360,57,17,1
1361,58,18,1
1362,59,19,1
1363,60,20,1
1364,61,21,1
1365,62,22,1
1366,63,23,1
1367,64,24,1
1368,56,16,1
1369,57,17,1
1370,58,18,1
1371,59,19,1
1372,56,16,1
1373,57,17,1
1374,58,18,1
1375,59,19,1
1376,60,20,1
1377,56,16,1
1378,57,17,1
1379,58,18,1
1380,59,19,1
1381,60,20,1
1382,61,21,1
1383,62,22,1
1384,63,23,1
1385,64,24,1
1386,56,16,1
1387,57,17,1
1388,58,18,1
1389,59,19,1
1390,60,20,1
1391,61,21,1
1392,62,22,1
1393,63,23,1
1394,64,24,1
1395,56,16,1
1396,57,17,1
1397,58,18,1
1398,59,19,1
1399,56,16,1
1400,57,17,1
1401,58,18,1
1402,59,19,1
1403,56,16,1
1404,57,17,1
1405,58,18,1
1406,59,19,1
1407,60,20,1
1408,61,21,1
1409,62,22,1
1410,63,23,1
1411,64,24,1
1412,56,16,1
1413,57,17,1
1414,58,18,1
1415,59,19,1
1416,60,20,1
1417,61,21,1
1418,62,22,1
1419,63,23,1
1420,64,24,1
1421,56,16,1
1422,57,17,1
1423,58,18,1
1424,59,19,1
1425,56,16,1
1426,57,17,1
1427,58,18,1
1428,59,19,1
1429,56,16,1
1430,57,17,1
1431,58,18,1
1432,59,19,1
1433,60,20,1
1434,61,21,1
1435,62,22,1
1436,63,23,1
1437,64,24,1
1438,56,16,1
1439,57,17,1
1440,58,18,1
1441,59,19,1
1442,60,20,1
1443,61,21,1
1444,62,22,1
1445,63,23,1
1446,64,24,1
1447,56,16,1
1448,57,17,1
1449,58,18,1
1450,59,19,1
1451,60,20,1
1452,61,21,1
1453,62,22,1
1454,63,23,1
1455,64,24,1
1456,56,16,1
1457,57,17,1
1458,58,18,1
1459,59,19,1
1460,60,20,1
1461,61,21,1
1462,62,22,1
1463,63,23,1
1464,64,24,1
1465,56,16,1
1466,57,17,1
1467,58,18,1
1468,59,19,1
1469,60,20,1
1470,61,21,1
1471,62,22,1
1472,63,23,1
1473,64,24,1
1474,56,16,1
1475,57,17,1
1476,58,18,1
1477,59,19,1
1478,56,16,1
1479,57,17,1
1480,58,18,1
1481,59,19,1
1482,60,20,1
1483,61,21,1
1484,62,22,1
1485,63,23,1
1486,64,24,1
1487,56,16,1
1488,57,17,1
1489,58,18,1
1490,59,19,1
1491,60,20,1
1492,61,21,1
1493,62,22,1
1494,63,23,1
1495,64,24,1
1496,56,16,1
1497,57,17,1
1498,58,18,1
1499,59,19,1
1500,60,20,1
1501,61,21,1
1502,62,22,1
1503,63,23,1
1504,64,24,1
1505,56,16,1
1506,57,17,1
1507,58,18,1
1508,59,19,1
1509,60,20,1
1510,61,21,1
1511,62,22,1
1512,63,23,1
1513,64,24,1
1514,56,16,1
1515,57,17,1
1516,58,18,1
1517,59,19,1
1518,60,20,1
1519,61,21,1
1520,62,22,1
1521,63,23,1
1522,64,24,1
1523,56,16,1
1524,57,17,1
1525,58,18,1
1526,59,19,1
1527,60,20,1
1528,61,21,1
1529,62,22,1
1530,63,23,1
1531,64,24,1
1532,55,16,1
1533,56,17,1
1534,57,18,1
1535,58,19,1
1536,59,20,1
1537,60,21,1
1538,61,22,1
1539,62,23,1
1540,63,24,1
1541,55,16,1
1542,56,17,1
1543,57,18,1
1544,58,19,1
1545,59,20,1
1546,60,21,1
1547,61,22,1
1548,62,23,1
1549,63,24,1
1550,64,25,1
1551,55,16,1
1552,56,17,1
1553,57,18,1
1554,58,19,1
1555,59,20,1
1556,60,21,1
1557,61,22,1
1558,62,23,1
1559,63,24,1
1560,64,25,1
1561,55,16,1
1562,56,17,1
1563,57,18,1
1564,58,19,1
1565,59,20,1
1566,60,21,1
1567,61,22,1
1568,62,23,1
1569,63,24,1
1570,64,25,1
1571,55,16,1
1572,56,17,1
1573,57,18,1
1574,58,19,1
1575,59,20,1
1576,60,21,1
1577,61,22,1
1578,62,23,1
1579,63,24,1
1580,64,25,1
1581,55,16,1
1582,56,17,1
1583,57,18,1
1584,58,19,1
1585,59,20,1
1586,60,21,1
1587,61,22,1
1588,62,23,1
1589,63,24,1
1590,55,16,1
1591,56,17,1
1592,57,18,1
1593,58,19,1
1594,59,20,1
1595,60,21,1
1596,61,22,1
1597,62,23,1
1598,63,24,1
1599,64,25,1
1600,55,16,1
1601,55,16,1
1602,56,17,1
1603,57,18,1
1604,58,19,1
1605,59,20,1
1606,60,21,1
1607,61,22,1
1608,62,23,1
1609,63,24,1
1610,64,25,1
1611,55,16,1
1612,56,17,1
1613,57,18,1
1614,58,19,1
1615,59,20,1
1616,60,21,1
1617,61,22,1
1618,62,23,1
1619,63,24,1
1620,64,25,1
1621,55,16,1
1622,56,17,1
1623,57,18,1
1624,58,19,1
1625,59,20,1
1626,60,21,1
1627,61,22,1
1628,62,23,1
1629,63,24,1
1630,64,25,1
1631,55,16,1
1632,56,17,1
1633,57,18,1
1634,58,19,1
1635,59,20,1
1636,60,21,1
1637,61,22,1
1638,62,23,1
1639,63,24,1
1640,64,25,1
1641,55,16,1
1642,56,17,1
1643,57,18,1
1644,58,19,1
1645,59,20,1
1646,60,21,1
1647,61,22,1
1648,62,23,1
1649,63,24,1
1650,64,25,1
1651,55,16,1
1652,56,17,1
1653,57,18,1
1654,58,19,1
1655,59,20,1
1656,60,21,1
1657,61,22,1
1658,62,23,1
1659,63,24,1
1660,64,25,1
1661,55,16,1
1662,56,17,1
